venue,is_baseline,men_run_median,women_run_median,run_factor_men,run_factor_women,existing_correction_men,existing_correction_women,existing_factor_men,existing_factor_women,combined_factor_men,combined_factor_women
Atlanta 2025,True,4457.0,4566.5,0.0,0.0,65.5,120.0,1.2843137254901962,2.181818181818182,0.6421568627450981,1.090909090909091
Chicago 2025,False,4585.0,4737.0,2.8718869194525465,3.733712909230264,101.0,-121.0,1.980392156862745,-2.1999999999999997,2.4261395381576456,0.7668564546151322
Gent 2025,False,4269.5,4716.0,-4.206865604666817,3.27384211102595,-309.5,-103.0,-6.068627450980392,-1.8727272727272728,-5.137746527823604,0.7005574191493386
Hamburg 2025,False,4364.0,4902.0,-2.086605339914741,7.346983466549874,-103.5,-206.0,-2.0294117647058822,-3.7454545454545456,-2.0580085523103113,1.8007644605476643
London Excel 2025,False,3881.0,4489.5,-12.92349113753646,-1.6861929267491513,-378.5,-251.5,-7.421568627450981,-4.572727272727272,-10.17252988249372,-3.129460099738212
Maastricht 2025,False,4469.5,4984.0,0.28045770697778777,9.142669440490529,-29.5,17.0,-0.5784313725490196,0.3090909090909091,-0.1489868327856159,4.725880174790719
Paris 2025,False,4424.5,5145,-0.7291900381422481,12.668345560056938,-163.5,118.0,-3.2058823529411766,2.1454545454545455,-1.9675361955417123,7.406900052755741
Toronto 2025,False,4850.5,5092,8.828808615660758,11.507719259827,264.5,238.0,5.186274509803922,4.327272727272727,7.0075415627323405,7.917495993549863
Utrecht 2025,False,4578.0,5212,2.7148306035449856,14.135552392423081,-31.0,54.0,-0.607843137254902,0.9818181818181818,1.0534937331450418,7.558685287120632
