athlete_name,nationality,venue_a,run_time_a,venue_b,run_time_b,observed_diff_seconds,observed_diff_pct,expected_diff_pct,delta_pct,validates
"Udalova, Nadia",N/A,Maastricht 2025,1:12:42,Utrecht 2025,1:08:32,-250,-5.7%,2.4%,-8.2%,No
"Van Rees, Rory",N/A,Maastricht 2025,1:12:22,Utrecht 2025,1:07:40,-282,-6.5%,2.4%,-8.9%,No
"El Tantawi, Ahmed",N/A,Gent 2025,1:02:16,London Excel 2025,1:03:03,47,1.3%,-8.7%,10.0%,No
"El Tantawi, Ahmed",N/A,London Excel 2025,1:03:03,Paris 2025,1:04:21,78,2.1%,12.2%,-10.1%,No
"Guntermann, Bettina",N/A,Hamburg 2025,1:34:18,Maastricht 2025,1:46:34,736,13.0%,2.4%,10.6%,No
"Van Den Berg, Tamara",N/A,Maastricht 2025,1:30:07,Utrecht 2025,1:22:39,-448,-8.3%,2.4%,-10.7%,No
"Marion, Christophe",N/A,Gent 2025,1:06:38,Maastricht 2025,1:17:21,643,16.1%,4.5%,11.6%,No
"Buiting, Frank",N/A,Maastricht 2025,1:21:22,Utrecht 2025,1:32:57,695,14.2%,2.4%,11.8%,No
"Gerritzen, Dennis",N/A,Maastricht 2025,1:13:26,Utrecht 2025,1:24:02,636,14.4%,2.4%,12.0%,No
"Travers, Aaron",N/A,London Excel 2025,57:51,Maastricht 2025,58:10,19,0.5%,13.2%,-12.6%,No
"Kap, Wendy",N/A,Maastricht 2025,1:47:53,Utrecht 2025,1:36:05,-708,-10.9%,2.4%,-13.4%,No
"Yu, Zhuang",N/A,Hamburg 2025,1:13:57,Paris 2025,1:25:30,693,15.6%,1.4%,14.3%,No
"Mattsson, Karin",N/A,Hamburg 2025,1:02:14,London Excel 2025,1:04:43,149,4.0%,-10.8%,14.8%,No
"Galan Romero, Santi",N/A,Hamburg 2025,1:46:04,London Excel 2025,1:51:03,299,4.7%,-10.8%,15.5%,No
"Schudde, Tim",N/A,Hamburg 2025,1:22:54,Utrecht 2025,1:12:58,-596,-12.0%,4.8%,-16.8%,No
"Van Drunen, Floris",N/A,Maastricht 2025,1:06:29,Utrecht 2025,1:43:50,2241,56.2%,2.4%,53.8%,No
