venue,event_id,location,region,gender,rank,name,nationality,age_group,finish_time,finish_seconds
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,40,"Robert, Maxime",FRA,25-29,01:02:19,3739
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,41,"Tellier, Jeremy",FRA,35-39,01:02:27,3747
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,42,"Lorblanchet, Thomas",FRA,45-49,01:02:33,3753
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,43,"Levacher, Mehdi",FRA,25-29,01:02:45,3765
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,44,"Soenen, William",FRA,30-34,01:02:47,3767
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,45,"Borras, Marc",FRA,25-29,01:02:49,3769
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,46,"Meyer, Kohl",USA,35-39,01:02:56,3776
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,47,"Murray, Colm",IRL,35-39,01:03:11,3791
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,48,"Caye, Alexandre",FRA,30-34,01:03:19,3799
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,49,"Barre, Julien",FRA,45-49,01:03:19,3799
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,5,"Lecorgne, Martin",FRA,25-29,00:56:28,3388
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,50,"Dumortier, Clement",FRA,25-29,01:03:20,3800
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,51,"Kohler, Florian",FRA,30-34,01:03:25,3805
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,52,"Dugas, Pierre",FRA,25-29,01:03:26,3806
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,53,"Farizy, Ludovic",FRA,30-34,01:03:28,3808
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,54,"Matejicek, Yannick",FRA,30-34,01:03:33,3813
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,55,"Normand, Wilfrid",FRA,50-54,01:03:39,3819
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,56,"Berrouigat, Mehdi",FRA,25-29,01:03:41,3821
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,57,"Ighmour, Ayoub",MAR,30-34,01:03:41,3821
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,58,"Pinard, Louka",FRA,16-24,01:03:43,3823
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,59,"Laisement, Yann",FRA,30-34,01:03:45,3825
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,6,"Chretiennot, Fergus",FRA,30-34,00:57:33,3453
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,60,"Ropars, Julien",FRA,35-39,01:03:45,3825
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,61,"Blas, Gaetan",FRA,35-39,01:03:48,3828
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,62,"Ruellant, Maxime",FRA,30-34,01:03:49,3829
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,63,"Goi, Eliott",FRA,35-39,01:03:51,3831
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,64,"Diaz, Sébastien",FRA,50-54,01:03:51,3831
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,65,"Gicquel, Gavin",FRA,30-34,01:03:52,3832
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,66,"Bertoncino, Yannick",FRA,25-29,01:03:54,3834
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,67,"Salles, Thibaut",FRA,35-39,01:03:57,3837
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,68,"Billault, Vincent",FRA,30-34,01:03:58,3838
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,69,"Tofan, Emilio",FRA,16-24,01:03:58,3838
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,7,"Crepeau, Charles",FRA,16-24,00:57:51,3471
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,70,"Gousseau, Kevin",FRA,30-34,01:04:02,3842
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,71,"Robert, Nicolas",FRA,35-39,01:04:06,3846
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,72,"Le Clainche, Lucas",FRA,25-29,01:04:12,3852
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,73,"HENNANI, HAMZA",MAR,30-34,01:04:15,3855
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,74,"Le Garrec, Antonin",FRA,25-29,01:04:18,3858
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,75,"Jousset, Etienne",FRA,30-34,01:04:18,3858
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,76,"Chaume, Pierrick",FRA,40-44,01:04:20,3860
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,77,"Orts, Thibault",FRA,30-34,01:04:21,3861
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,78,"Duvigneau, Alan",FRA,30-34,01:04:22,3862
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,79,"Tourre, Julien",FRA,30-34,01:04:24,3864
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,8,"Laurent, Thibaud",FRA,30-34,00:57:54,3474
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,80,"Dreux, Amaury",FRA,25-29,01:04:27,3867
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,81,"Carret, Adrien",FRA,25-29,01:04:28,3868
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,82,"Lhuillier, Igor",FRA,25-29,01:04:30,3870
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,83,"Dereppe, Johan",FRA,25-29,01:04:35,3875
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,84,"Lortal, Sylvianno",FRA,25-29,01:04:40,3880
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,85,"Lureau, Frederic",FRA,40-44,01:04:40,3880
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,86,"Antwi, William",FRA,30-34,01:04:40,3880
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,87,"Victoria Bautista, Raul",MEX,50-54,01:04:41,3881
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,88,"Tardiere Sanchez, Romain",FRA,35-39,01:04:43,3883
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,89,"Du Pré, Louis",FRA,30-34,01:04:44,3884
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,9,"Martinez, Hugo",FRA,25-29,00:57:58,3478
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,90,"Dormoy, Hugues",FRA,35-39,01:04:45,3885
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,91,"Shaw, Karl",GBR,40-44,01:04:46,3886
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,92,"Naacke, Thibaut",FRA,30-34,01:04:47,3887
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,93,"Dauvers, Luka",FRA,25-29,01:04:48,3888
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,94,"Leste-Lasserre, Camille",FRA,35-39,01:04:50,3890
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,95,"Carvalho, Bruno Miguel Reis Santos",POR,25-29,01:04:50,3890
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,96,"Vayssié, Flavien",FRA,25-29,01:04:54,3894
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,97,"Dostes, Adrien",FRA,25-29,01:04:58,3898
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,98,"Datas, Thomas",FRA,30-34,01:05:00,3900
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,M,99,"Daghbouj, Walid",FRA,30-34,01:05:01,3901
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,1,"Saunier, Stéphanie",FRA,35-39,01:06:39,3999
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,10,"Arnes, Justine",FRA,30-34,01:10:03,4203
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,100,"Lozes, Sarah",FRA,35-39,01:17:16,4636
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,11,"Savel, Aline",FRA,25-29,01:10:08,4208
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,12,"Oheix, Marie",FRA,30-34,01:10:15,4215
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,13,"Chan-Lam, Nicki",GBR,30-34,01:10:24,4224
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,14,"Rahmoun, Salma",MAR,25-29,01:10:28,4228
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,15,"Sommer, Aline",GER,16-24,01:10:30,4230
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,16,"Leclerc, Pauline",FRA,30-34,01:10:30,4230
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,17,"Rafiki, Afafe",FRA,35-39,01:10:34,4234
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,18,"Rolland, Marjorie",FRA,35-39,01:10:34,4234
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,19,"Boutiller, Marie",FRA,25-29,01:10:40,4240
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,2,"Roche, Noemie",FRA,35-39,01:07:58,4078
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,20,"Pasquier, Lisa",FRA,16-24,01:10:49,4249
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,21,"Piton, Marie",FRA,25-29,01:11:11,4271
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,22,"Fermé, Cloé",FRA,25-29,01:11:16,4276
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,23,"Vandewalle, Justine",FRA,25-29,01:11:23,4283
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,24,"Marion, Agathe",FRA,30-34,01:11:31,4291
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,25,"Juillet, Anthéa",FRA,16-24,01:11:36,4296
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,26,"Kubatova, Petra",CZE,40-44,01:11:41,4301
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,27,"Machot, Lucile",FRA,25-29,01:11:48,4308
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,28,"Brenac, Charlotte",FRA,25-29,01:11:49,4309
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,29,"Bertereau, Aurélie",FRA,40-44,01:11:49,4309
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,3,"Suarez, Emilie",FRA,40-44,01:08:28,4108
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,30,"Mourou, Florine",FRA,25-29,01:12:04,4324
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,31,"Deydier, Chloe",FRA,30-34,01:12:05,4325
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,32,"Batté, Alizée",FRA,25-29,01:12:06,4326
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,33,"Sermadiras, Sabrina",FRA,40-44,01:12:08,4328
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,34,"Rapin, Bénédicte",SUI,30-34,01:12:15,4335
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,35,"François, Elodie",FRA,25-29,01:12:16,4336
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,36,"Vergonjeanne, Virginie",FRA,45-49,01:12:26,4346
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,37,"Fourticq, Manon",FRA,25-29,01:12:40,4360
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,38,"Ferreira, Elise",FRA,25-29,01:12:47,4367
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,39,"Artisien, Ophelie",FRA,30-34,01:12:59,4379
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,4,"Fleury, Pauline",FRA,30-34,01:09:05,4145
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,40,"Thaon, Clarisse",FRA,16-24,01:13:01,4381
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,41,"Maillet, Laura",FRA,30-34,01:13:02,4382
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,42,"Monteillet, Marie",FRA,25-29,01:13:10,4390
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,43,"Jamison, Catherine",GBR,40-44,01:13:12,4392
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,44,"Dupré, Clara",FRA,35-39,01:13:19,4399
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,45,"Dorangeon, Emma",FRA,30-34,01:13:19,4399
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,46,"Jacques, Alice",FRA,30-34,01:13:19,4399
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,47,"Samson, Marie",FRA,30-34,01:13:24,4404
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,48,"Finnestrand, Stine",NOR,45-49,01:13:26,4406
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,49,"You, Jia",CHN,35-39,01:13:32,4412
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,5,"Sauzeau, Anne-Laure",FRA,35-39,01:09:09,4149
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,50,"Lamy, Caroline",FRA,35-39,01:13:38,4418
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,51,"Lenglet, Nolwenn",FRA,16-24,01:13:38,4418
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,52,"Lauriou, Maya",FRA,25-29,01:13:38,4418
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,53,"Moulin, Gwladys",FRA,30-34,01:13:39,4419
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,54,"Grimault, Laurence",FRA,35-39,01:13:45,4425
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,55,"Defever, Maëlle",FRA,16-24,01:13:53,4433
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,56,"Rateau, Charlotte",FRA,35-39,01:13:53,4433
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,57,"Le Boeuf, Chloé",FRA,16-24,01:14:04,4444
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,58,"Laval, Marie",FRA,30-34,01:14:07,4447
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,59,"Bérenger, Aliénor",FRA,16-24,01:14:08,4448
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,6,"David, Gwenaëlle",FRA,30-34,01:09:17,4157
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,60,"Vergara, Felicia",FRA,25-29,01:14:11,4451
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,61,"Simon, Estelle",FRA,40-44,01:14:19,4459
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,62,"Gisbert, Marine",FRA,30-34,01:14:37,4477
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,63,"Talarmain, Clervie",FRA,25-29,01:14:41,4481
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,64,"Robquin, Eva",FRA,30-34,01:14:47,4487
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,65,"Hanse, Noemie",FRA,16-24,01:14:47,4487
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,66,"Clavier, Laurène",FRA,40-44,01:14:48,4488
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,67,"Bault, Mandy",FRA,35-39,01:14:53,4493
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,68,"Weill, Gabrielle",FRA,16-24,01:15:07,4507
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,69,"De Montfumat, Blanche",FRA,16-24,01:15:08,4508
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,7,"Lahmi, Florie",FRA,35-39,01:09:33,4173
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,70,"Gay-Pageon, Marion",FRA,30-34,01:15:10,4510
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,71,"Campillo, Lou",FRA,25-29,01:15:14,4514
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,72,"Dusart, Loana",FRA,30-34,01:15:20,4520
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,73,"Laboille, Justine",FRA,30-34,01:15:23,4523
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,74,"Laillet, Victor",FRA,25-29,01:15:27,4527
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,75,"Delporte, Léontine",FRA,16-24,01:15:29,4529
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,76,"Fuchs, Manon",FRA,25-29,01:15:31,4531
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,77,"Galice, Clementine",FRA,30-34,01:15:38,4538
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,78,"Brugat, Audrey",FRA,30-34,01:15:43,4543
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,79,"Gauderat, Aliénor",FRA,30-34,01:15:44,4544
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,8,"Horwitz, Virginie",FRA,40-44,01:09:43,4183
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,80,"Vraux, Marie",FRA,25-29,01:15:51,4551
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,81,"Muller, Justine",FRA,30-34,01:15:53,4553
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,82,"Salmon, Flavie",FRA,25-29,01:15:57,4557
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,83,"Beauvais, Lisa",FRA,25-29,01:15:59,4559
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,84,"Richmond, Kimberley",GBR,45-49,01:16:03,4563
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,85,"Dulucq Tejado, Angela",FRA,16-24,01:16:04,4564
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,86,"Sabathé, Charlotte",FRA,30-34,01:16:08,4568
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,87,"Romé, Chloé",FRA,30-34,01:16:09,4569
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,88,"Van Boxel, Pauline",FRA,30-34,01:16:37,4597
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,89,"Andries, Amélie",FRA,30-34,01:16:38,4598
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,9,"Minvielle, Charlotte",FRA,35-39,01:09:48,4188
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,90,"Osmani, Beharta",SUI,35-39,01:16:47,4607
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,91,"Marlier, Mady",FRA,35-39,01:16:54,4614
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,92,"Retourne, Iris",FRA,40-44,01:16:57,4617
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,93,"Peter, Aurélie",FRA,30-34,01:16:58,4618
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,94,"Placzek, Pia",GER,45-49,01:16:59,4619
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,95,"Puiseux, Charlotte",FRA,25-29,01:17:07,4627
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,96,"Charpentier, Carla",FRA,16-24,01:17:11,4631
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,97,"Vidal, Ana-Kim",FRA,25-29,01:17:12,4632
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,98,"Vignau, Pauline",FRA,25-29,01:17:13,4633
Bordeaux 2025,H_Bordeaux25_OVERALL,"Bordeaux, France",Europe,W,99,"Lienard, Emma",FRA,25-29,01:17:15,4635
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,1,"Graboys, Noah",USA,30-34,00:57:09,3429
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,10,"Yehia, Amir",LBN,16-24,01:03:45,3825
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,100,"Terrill, Andrew",USA,35-39,01:11:48,4308
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,11,"Brush, Jake",USA,16-24,01:03:49,3829
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,12,"Pankhurst, Garrett",CAN,30-34,01:03:50,3830
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,13,"Jones, Nick",USA,25-29,01:04:32,3872
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,14,"Diianni, Jonathan",USA,30-34,01:04:35,3875
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,15,"Kaye, Bennett",USA,35-39,01:04:58,3898
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,16,"Lee, Conner",USA,25-29,01:05:05,3905
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,17,"Moltzan, Garrett",USA,25-29,01:05:17,3917
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,18,"Yehia, Omar",EGY,30-34,01:05:38,3938
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,19,"Nelson, Cole",USA,35-39,01:05:39,3939
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,2,"Paikowski, Vince",USA,30-34,00:58:47,3527
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,20,"Frusher, Alex",GBR,30-34,01:05:43,3943
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,21,"Needham, Dustin",USA,40-44,01:05:53,3953
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,22,"Brenzel, Brian",USA,35-39,01:06:11,3971
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,23,"Miller, Dakota",USA,30-34,01:06:14,3974
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,24,"Jones, Joshua",USA,35-39,01:06:30,3990
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,25,"Ezzat, Ramsey",CAN,40-44,01:06:33,3993
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,26,"Keith, Charlie",USA,16-24,01:06:34,3994
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,27,"Hansing, Matt",USA,25-29,01:06:34,3994
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,28,"Mette, Bobby",USA,30-34,01:06:44,4004
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,29,"Schwartz, Ben",USA,16-24,01:06:47,4007
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,3,"Cygan, Zach",USA,16-24,00:59:15,3555
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,30,"Daly, Christian",USA,25-29,01:06:51,4011
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,31,"Littlefield, Jesse",USA,30-34,01:06:57,4017
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,32,"Anderson, David",USA,25-29,01:07:01,4021
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,33,"Wiitala, Matt",USA,40-44,01:07:13,4033
Chicago 2025,H_Chicago25_OVERALL,"Chicago, IL, USA",North America,M,34,"Tavares, Nick",USA,30-34,01:07:15,4035
