venue,event_id,location,region,gender,rank,name,nationality,age_group,finish_time,finish_seconds
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,5,"Arroyo, Robbie",USA,40-44,01:03:54,3834
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,50,"Freeman, John",USA,35-39,01:09:29,4169
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,51,"Starkey, Cory",USA,30-34,01:09:35,4175
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,52,"Johnson, Kevin",USA,40-44,01:09:44,4184
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,53,"Elleithy, Mohamed",EGY,30-34,01:09:50,4190
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,54,"König, Bruno",GER,16-24,01:10:08,4208
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,55,"Lee, Jon",USA,35-39,01:10:11,4211
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,56,"Denton, Drew",USA,30-34,01:10:15,4215
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,57,"Contreras, Jesus",USA,30-34,01:10:15,4215
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,58,"Maurey, Ben",USA,30-34,01:10:19,4219
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,59,"Libardoni, Eric",USA,35-39,01:10:23,4223
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,6,"O'Callaghan, Sean",IRL,25-29,01:03:54,3834
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,60,"Von Steeg, James",USA,50-54,01:10:24,4224
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,61,"Martinez, Dj",USA,30-34,01:10:30,4230
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,62,"Martin, Matt",USA,45-49,01:10:32,4232
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,63,"Hayden, Cormac",USA,25-29,01:10:33,4233
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,64,"O'Shea, John",USA,25-29,01:10:50,4250
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,65,"Vera, Daniel",MEX,40-44,01:10:55,4255
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,66,"Cunningham, Grant",USA,30-34,01:10:57,4257
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,67,"Vayda, Brian",USA,45-49,01:10:58,4258
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,68,"Huizar, Sergio",MEX,35-39,01:11:01,4261
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,69,"Wong, Jason",USA,45-49,01:11:17,4277
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,7,"Silvestrin, Tory",USA,35-39,01:04:11,3851
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,70,"Koper, Connor",USA,30-34,01:11:18,4278
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,71,"Davis, Tyler",USA,25-29,01:11:22,4282
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,72,"Tinta, Brandon",USA,35-39,01:11:27,4287
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,73,"Gardner, Joshua",USA,35-39,01:11:31,4291
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,74,"Zvonek, Dustin",USA,40-44,01:11:34,4294
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,75,"Cox, Martin",USA,35-39,01:11:37,4297
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,76,"Contreras, Lorenzo",USA,40-44,01:11:47,4307
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,77,"Witcher, Daniel",USA,40-44,01:11:49,4309
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,78,"Howard III, John",USA,35-39,01:11:52,4312
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,79,"Carey, Carson",USA,25-29,01:11:53,4313
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,8,"Alley, Braydon",USA,30-34,01:04:19,3859
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,80,"Camacho, Austin",ESP,25-29,01:11:53,4313
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,81,"Preston, Braydon",USA,25-29,01:11:54,4314
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,82,"Gross, Alfred",USA,30-34,01:12:00,4320
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,83,"Ketsamanian, Serhad",USA,30-34,01:12:05,4325
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,84,"Leiva, Andres",USA,35-39,01:12:15,4335
